"","State","Total","WhiteTotal","BlackTotal","IndianTotal","AsianTotal","HawaiianTotal","OtherTotal","WhiteRate","BlackRate","IndianRate","AsianRate","HawaiianRate","OtherRate"
"1","Alabama",4876250,3320247,1299048,25565,66270,2238,162882,68.0901717508331,26.6403076134325,0.5242758267111,1.35903614457831,0.04589592412202,3.34031274032299
"2","Alaska",737068,476015,24205,109751,45920,9204,71973,64.5822366457369,3.28395751816657,14.8902136573559,6.23009003239864,1.24873146032659,9.7647706860154
"3","Arizona",7050299,5444453,317462,317414,233213,14458,723299,77.223008556091,4.50281612169924,4.50213529950999,3.30784552541672,0.205069316918332,10.2591251803647
"4","Arkansas",2999370,2301044,459542,20434,45504,8733,164113,76.7175773579118,15.3212841363353,0.681276401377623,1.51711859490493,0.291161143840206,5.47158236563012
"5","California",39283497,23453222,2274108,303998,5692423,155290,7404456,59.7024816732197,5.78896542201845,0.773856787084327,14.4906222195703,0.395305957494211,18.8487704862113
"6","Colorado",5610349,4712574,233647,54847,178147,8643,422491,83.9978760679594,4.16457158012808,0.977604067055365,3.17532830845283,0.154054587334941,7.53056538906938
"7","Connecticut",3575074,2714031,383416,9955,161257,1123,305292,75.9153796536799,10.7247010831104,0.278455774621728,4.51059194858624,0.0314119372074536,8.53945960279424
"8","Delaware",957248,658237,212302,3729,37009,542,45429,68.7634761315772,22.1783696596911,0.389554222103363,3.86618723674534,0.0566206458514408,4.74579210403156
"9","Florida",20901636,15702256,3359031,59320,571276,12653,1197100,75.1245309218857,16.0706606889528,0.283805535604964,2.73316404514938,0.0605359312543765,5.72730287715277
"10","Georgia",10403847,6098889,3289020,37440,414481,6233,557784,58.6214791509333,31.6134983530611,0.359866883855558,3.98392056323012,0.0599105311717867,5.3613245177481
"11","Hawaii",1422094,354847,26025,3710,537355,142997,357160,24.9524293049545,1.83004780274722,0.260882895223522,37.7861800977994,10.0553831181342,25.115076781141
"12","Idaho",1717750,1545409,11918,23136,24287,2755,110245,89.9670499199534,0.693814583030127,1.3468781836705,1.41388444185708,0.160384223548246,6.41798864794062
"13","Illinois",12770631,9134903,1813590,33460,698524,4477,1085677,71.530553188797,14.2012559911879,0.262007413729204,5.46976887829583,0.0350569991412327,8.50135752884881
"14","Indiana",6665703,5553391,626587,15782,151979,2506,315458,83.3129078808342,9.40016379367638,0.236764224268618,2.28001457610698,0.0375954344200454,4.73255409069381
"15","Iowa",3139508,2826070,116359,11976,75741,3729,105633,90.0163337694951,3.7062813663797,0.381461044214571,2.41251176936004,0.118776572634948,3.36463547791565
"16","Kansas",2910652,2455935,170291,24010,85794,2382,172240,84.3774865562767,5.85061353950936,0.824901087453945,2.94758700112552,0.0818373340406204,5.91757448159381
"17","Kentucky",4449052,3868479,358928,9386,65191,3182,143886,86.9506357758911,8.06751640574217,0.210966291245865,1.4652784458352,0.0715208543303158,3.23408222695532
"18","Louisiana",4664362,2892275,1502963,26361,80806,1406,160551,62.0079444948741,32.2222631948378,0.565157678584981,1.73241270724699,0.0301434579906105,3.44207846646551
"19","Maine",1335492,1259522,18468,8660,15109,396,33337,94.3114597466702,1.38286114780171,0.648450159192268,1.13134335510808,0.0296519934226487,2.49623359780515
"20","Maryland",6018848,3343003,1799094,16762,378126,3034,478829,55.5422399768195,29.891002397801,0.278491830994901,6.28236499742143,0.050408317339132,7.95549247962401
"21","Massachusetts",6850553,5348538,522357,14764,452436,2804,509654,78.0745437631093,7.62503406659287,0.215515448168929,6.60437193902449,0.0409310022125221,7.43960378089185
"22","Michigan",9965265,7813755,1374314,53316,311721,3099,409060,78.4099068113091,13.7910431885153,0.535018386365039,3.12807536979699,0.0310980189688884,4.10485822504469
"23","Minnesota",5563378,4609049,356515,58011,268181,2194,269428,82.8462311926315,6.40824693198988,1.04272979473981,4.82047058459806,0.039436471870148,4.84288502417057
"24","Mississippi",2984418,1743217,1125623,14269,29605,680,71024,58.4106180836599,37.7166670352477,0.478116671324191,0.99198570709599,0.0227850120190938,2.37982749065312
"25","Missouri",6104910,5015904,701334,27084,120654,8231,231703,82.1618009110699,11.488031764596,0.443642903826592,1.97634363160145,0.134825902429356,3.79535488647662
"26","Montana",1050649,930204,5303,66839,8259,807,39237,88.5361333804153,0.50473564434935,6.36168691922802,0.786085552834486,0.0768096671676269,3.73454883600517
"27","Nebraska",1914571,1666871,92406,17673,45655,1327,90639,87.0623758533896,4.82645981789132,0.923078851606966,2.38460730889583,0.0693105661790553,4.73416760203722
"28","Nevada",2972382,1949707,271005,38026,242267,20022,451355,65.5940925493426,9.11743510760057,1.27931066733684,8.15060110039692,0.67360117239305,15.18495940293
"29","New Hampshire",1348124,1252128,21546,2036,36180,443,35791,92.8792900356347,1.5982209351662,0.15102468318938,2.68372938987808,0.0328604787096736,2.65487447742196
"30","New Jersey",8878503,6018074,1194882,19711,840168,3458,802210,67.7825304558663,13.4581471673772,0.222008147094167,9.46294662512363,0.0389480073386245,9.03541959720011
"31","New Mexico",2092454,1565366,44120,199845,32577,1644,248902,74.810055561556,2.10852902859513,9.55074759110595,1.55688010345747,0.0785680354263463,11.8952196798592
"32","New York",19572319,12459687,3065471,79512,1647606,8821,2311222,63.659734768285,15.6622771342386,0.406247189909014,8.41804139723855,0.0450687501532777,11.8086256509193
"33","North Carolina",10264876,7049919,2200761,123952,292992,7213,590039,68.6800210738055,21.4397231880833,1.20753528829769,2.85431601901475,0.0702687494714987,5.74813568132728
"34","North Dakota",756717,655136,21985,40006,11006,863,27721,86.5760911939338,2.90531334699762,5.2867848878775,1.45444069579513,0.114045277164382,3.66332459823157
"35","Ohio",11655397,9476047,1446193,22816,258199,3880,448262,81.3017952112656,12.4079257017157,0.19575480783709,2.21527417727599,0.0332892993692107,3.84596080253637
"36","Oklahoma",3932870,2844070,286356,299621,85239,6260,411324,72.31538291375,7.28109497644214,7.61838047024183,2.16734852664848,0.15917129221154,10.458621820706
"37","Oregon",4129803,3480920,78679,48060,180580,16625,324939,84.2877977472533,1.90515140794851,1.16373589732973,4.37260566666255,0.40256157497101,7.86814770583488
"38","Pennsylvania",12791530,10300602,1430664,24691,436324,4198,595051,80.5267391781906,11.1844634691863,0.193026166533636,3.41103839806497,0.0328185916774616,4.65191419634711
"39","Rhode Island",1057231,850597,71561,5277,35958,810,93028,80.4551701567586,6.76871941893493,0.499134058687269,3.40114885015668,0.0766152335676877,8.79921228189487
"40","South Carolina",5020806,3372011,1344139,17645,78805,4002,204204,67.1607506842527,26.7713789379633,0.351437597867753,1.56956871068111,0.0797083177481862,4.06715575148691
"41","South Dakota",870638,733719,17531,76190,12627,504,30067,84.2737165159343,2.01358084531114,8.75105382489622,1.45031574546482,0.0578885828553314,3.45344448553819
"42","Tennessee",6709356,5205132,1124473,18189,117600,3771,240191,77.5802029285672,16.7597754538588,0.271099044379222,1.7527762724172,0.0562050962864394,3.57994120449116
"43","Texas",28260856,20903375,3428211,141425,1357273,25292,2405280,73.965823965134,12.1305985919181,0.500427163281961,4.8026606129694,0.0894948121882791,8.5109948545083
"44","Utah",3096848,2676482,36849,33721,71977,27554,250265,86.4260047635531,1.18988726602016,1.08888133999473,2.32420189818809,0.889743377782829,8.08128135446105
"45","Vermont",624313,587883,8502,2132,10461,325,15010,94.1647859326972,1.36181690914653,0.341495371712586,1.67560182152222,0.0520572212976504,2.40424274362379
"46","Virginia",8454463,5717617,1621592,23873,541133,6179,544069,67.6283875155643,19.1803074896655,0.282371571086182,6.40056027213083,0.0730856590182014,6.43528749253501
"47","Washington",7404107,5581128,281683,94449,631333,49090,766424,75.3788134072076,3.80441557638214,1.27562986326373,8.52679465599295,0.663010407602159,10.3513360895514
"48","West Virginia",1817305,1691600,66990,3667,14523,419,40106,93.082889223328,3.68622768330027,0.201782309518765,0.79915039027571,0.0230561188132977,2.206894274764
"49","Wisconsin",5790716,4946961,371200,51392,161841,2400,256922,85.4291766337703,6.41026083821068,0.88748956087641,2.79483573361222,0.0414456519711897,4.43679158155917
"50","Wyoming",581024,531304,5582,14164,5025,596,24353,91.442694277689,0.960717629564355,2.43776504929228,0.864852398523985,0.102577518312497,4.19139312661783
